"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
"35330000-6";NA;57470.38;57188.61;3
"73110000-6";NA;59991;59991;8
NA;NA;NA;NA;NA
"34115200-8";NA;105246.68;105246.68;6
"34143000-1";NA;399300;399300;12
"66510000-8";NA;31237.92;29225.67;10
"30197630-1";60000;44452;NA;24
"73110000-6";NA;38856;38856;8
"85320000-8";NA;207494;NA;48
"85147000-1";NA;25000;20915.1;12
NA;NA;NA;NA;NA
"79311200-9";NA;NA;NA;3
"71242000-6";NA;NA;NA;4
"45213350-1";NA;471054.97;461629.08;5
"79212000-3";NA;62410;NA;15
"72221000-0";25000;25000;25000;2
"79418000-7";NA;7150;9750;11
"71313000-5";NA;105000;105000;8
"55100000-1";NA;60000;50412.19;12
"71240000-2";NA;13500;13500;18
"72250000-2";39900;39799.8;39799.8;12
"34110000-1";105000;92198.65;NA;36
"48600000-4";23109;19658;19658;1
"72262000-9";NA;174900;209880;10
"90910000-9";NA;20049.6;NA;24
NA;NA;NA;NA;NA
"72262000-9";39999;39999;NA;23
"71240000-2";NA;314180;NA;7
"60610000-7";NA;241104116;NA;120
"30190000-7";52000;52000;NA;48
NA;NA;NA;NA;NA
"85312320-8";5e+05;NA;NA;47
"72262000-9";NA;11366;11366;12
"85311300-5";NA;48866;33056.58;11
"34220000-5";NA;17647.37;17647.37;2
"79311200-9";39999;39700;39700;6
"72810000-1";NA;8200;8200;2
"72262000-9";NA;NA;NA;36
"32232000-8";NA;42672;NA;60
"85312300-2";NA;99973;99973;12
"30124000-4";NA;9518;NA;24
"32420000-3";NA;9860;NA;37
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"72262000-9";NA;40000;NA;24
"41110000-3";189000;189000;NA;36
"18513300-1";NA;23825.69;20796.83;12
"79800000-2";50000;60000;NA;24
"72262000-9";NA;NA;NA;36
"79710000-4";NA;116364.6;NA;36
"73200000-4";12000;12000;12000;2
"48781000-6";NA;12135;12135;12
"71521000-6";NA;9640;9640;12
"34115300-9";NA;12657.38;NA;60
"79300000-7";NA;58145;58145;12
"45215215-7";1e+06;1024316.15;1024316.15;10
"73110000-6";2462766;2462766;NA;38
"15831200-4";4e+06;4e+06;NA;36
"72320000-4";30600;23976;NA;24
"71242000-6";NA;40000;30304.8;4
"80500000-9";NA;150000;NA;72
"64210000-1";NA;130000;NA;18
"71241000-9";NA;29750;29750;3
"79530000-8";60000;60000;9402.54;12
"79341400-0";NA;39635.7;39635.7;3
"73100000-3";NA;NA;NA;10
"48822000-6";NA;37874;37874;1
"73210000-7";NA;76480;76480;9
"85111500-5";NA;2806080;NA;49
"72262000-9";39600;39600;NA;24
"72212000-4";50000;66150;21357;12
"33651600-4";NA;584570.71;NA;36
"85312300-2";2e+05;2e+05;NA;24
"79530000-8";20000;20000;NA;24
"79311200-9";NA;34000;34000;3
"79810000-5";NA;12050.7;11889.11;2
"72250000-2";NA;39999;39999;3
"30236000-2";57000;47397.3;47397.3;1
"85320000-8";NA;NA;NA;49
"64110000-0";NA;118553.5;116666.66;2
"33651600-4";NA;40875;37500;19
"72225000-8";NA;1e+05;NA;24
"48900000-7";1250000;1261655.55;NA;36
"79810000-5";NA;6480;8500;3
"90911000-6";NA;29304;NA;36
"33651400-2";NA;7362449.1;NA;14
"45112100-6";NA;137349.87;137349.87;9
"72253200-5";NA;74717.71;NA;24
"48822000-6";NA;NA;NA;1
"85140000-2";48333.33;40277.5;NA;24
"45110000-1";NA;163000;163000;3
"73110000-6";30640;25700;25700;7
"72250000-2";12000;17556;17556;1
"32420000-3";39160;15125;15125;1
"72262000-9";NA;12784;12784;2
"64110000-0";999250;999250;NA;36
"34921200-1";NA;776620;776620;12
"64100000-7";125000;125000;118499.05;12
"48311100-2";40000;38850;38850;1
NA;NA;NA;NA;NA
"79212200-5";NA;30240;NA;36
"66518100-5";83333;83333;NA;36
"73110000-6";12500;12500;15625;10
"73110000-6";23000;19166.67;19166.67;3
"79311200-9";12500;12395;12395;6
"72262000-9";166666;166666;NA;36
"22212000-9";NA;20723.2;20723.2;14
NA;NA;NA;NA;NA
"72212443-6";NA;66611.25;55174.35;16
"66512200-4";NA;106975.41;108340.58;12
"22850000-3";50000;50000;NA;24
"34113100-3";NA;NA;NA;60
"85100000-0";25000;5338.5;17675.6;6
"30236000-2";57000;NA;NA;1
"32420000-3";57500;37579;37579;1
"79340000-9";16600;16667;3268.25;12
"98300000-6";NA;NA;NA;20
"30232100-5";41150;34250.85;NA;24
"48820000-2";NA;10759;10759;1
"72262000-9";NA;NA;NA;48
"73200000-4";35000;34500;34500;3
"30190000-7";40000;NA;NA;24
"66512000-2";NA;22320;NA;24
NA;NA;NA;NA;NA
"15800000-6";212000;NA;NA;24
"32420000-3";35000;17750;17750;1
"32581000-9";4e+05;4e+05;NA;36
"48620000-0";NA;21622.8;21622.8;12
"32420000-3";NA;19450;NA;36
"71240000-2";NA;146003;NA;6
"48900000-7";NA;NA;NA;36
"90510000-5";NA;754157;551368.3;12
"34144740-7";NA;NA;NA;7
NA;NA;NA;NA;NA
"45200000-9";4e+06;3978780;NA;8
"50324100-3";NA;13603;13603;12
"79315000-5";1e+05;62300;NA;29
"80521000-2";329000;328623;NA;24
"80522000-9";NA;38885;38885;3
"79530000-8";30000;20000;NA;26
"71520000-9";NA;7900;12040;31
"79822500-7";39900;39900;NA;24
"73110000-6";NA;9900;9900;1
"35821000-5";NA;38900;11575.76;14
"30190000-7";NA;39000;NA;36
"34113100-3";NA;NA;NA;60
"32581000-9";NA;NA;NA;36
"45261000-4";NA;98977.2;98977.2;3
"34110000-1";40000;38800;38800;4
"34143000-1";NA;NA;NA;12
"34110000-1";40000;38852;38852;3
"63510000-7";NA;470000;NA;24
"34110000-1";40000;NA;NA;4
NA;NA;NA;NA;NA
"34110000-1";3e+05;287268.6;NA;48
"73100000-3";NA;NA;NA;7
"33760000-5";15000;15000;NA;36
"37311100-2";NA;23767;23767;3
"72262000-9";45000;28000;28000;12
"71320000-7";NA;218620;218620;13
"30210000-4";19300;18130;18130;1
"72250000-2";NA;20711.61;NA;27
"16700000-2";NA;51275;51275;6
"34115200-8";NA;36240;36240;6
"72261000-2";NA;5955;5955;12
"92311000-4";32800;36007.67;36007.67;5
"63512000-1";5e+05;5e+05;NA;24
"72262000-9";30000;28080;20700;12
"72210000-0";112500;1e+05;NA;26
"72262000-9";NA;39999;NA;24
"72260000-5";NA;3200000;NA;48
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"32232000-8";NA;34560;34560;2
"79311200-9";40000;37200;37200;13
"72262000-9";83333.33;83333.33;NA;36
"79212000-3";37500;21120;NA;38
"45200000-9";NA;2687223.16;2425515.09;9
"34110000-1";NA;65195.79;NA;36
"48781000-6";62500;58008;58008;1
"72262000-9";25000;25000;24970;12
"80330000-6";NA;NA;NA;14
"79300000-7";NA;58155;NA;21
"15800000-6";39999;39999;NA;24
"45200000-9";NA;3043556.12;2907654.96;6
"72253200-5";25000;13880;13880;1
"79212000-3";NA;11800;11800;2
"72200000-7";NA;42000;42000;14
"80500000-9";NA;23360;23360;14
"45200000-9";NA;1184051;1179688.4;9
"45210000-2";NA;879441;879441;6
"72262000-9";NA;39999;NA;25
"73110000-6";NA;33291;33291;9
"72210000-0";NA;47850;47850;5
"45112350-3";NA;49999.64;49999.64;3
"73200000-4";25000;24500;24500;4
"79311200-9";NA;8000;8000;7
"72250000-2";NA;NA;NA;48
"35821000-5";NA;NA;NA;16
"55110000-4";40000;40000;20038.87;16
"30200000-1";35000;29500;29500;3
"92221000-6";NA;48000;48000;5
"72267000-4";NA;14400;NA;48
"72262000-9";6e+05;463920;NA;48
"79300000-7";NA;66620;66620;9
"73110000-6";NA;14500;14500;2
"73110000-6";NA;4875;4875;3
"73110000-6";30640;NA;NA;10
"71320000-7";NA;NA;NA;13
"90410000-4";NA;335008.8;144821.48;16
"79320000-3";NA;22544;22544;2
"73110000-6";NA;39500;39500;12
"72262000-9";5e+05;416666.67;NA;36
"48461000-7";NA;14870;14870;12
NA;NA;NA;NA;NA
"34100000-8";NA;156166.65;156166.65;8
"33651400-2";NA;3295423.03;NA;22
"71240000-2";NA;19700;19000;3
"79212000-3";NA;17500;17500;3
"79341400-0";1e+05;98184;98184;12
"33651600-4";NA;407174.86;NA;10
"90911100-7";NA;115000;NA;27
"34131000-4";NA;29266;29266;4
"72262000-9";NA;30000;17577.5;13
"79341400-0";NA;99905.27;99905.27;9
"31100000-7";NA;74590;74590;6
"71241000-9";NA;24900;24900;8
"30190000-7";20000;20000;NA;24
"73111000-3";NA;106200;NA;36
"79311200-9";NA;37687.5;37687.5;3
"80400000-8";NA;24269;24269;2
"33651600-4";NA;16546.2;NA;8
"33651300-1";NA;31522.8;31522.8;3
"45112350-3";NA;NA;NA;3
"72267000-4";NA;NA;NA;48
"79340000-9";NA;110200;110200;6
"72262000-9";30000;31560;31560;24
"79410000-1";NA;6833333.33;NA;85
"72200000-7";NA;NA;NA;14
"45314000-1";NA;35276.8;35276.8;5
"72200000-7";66666;66666;NA;24
"60610000-7";NA;NA;NA;122
"71354000-4";12768;9800;9800;7
"63516000-9";1650000;825000;NA;24
"73110000-6";29522;22150;22150;10
"80330000-6";NA;NA;NA;16
"48761000-0";NA;30435;30435;36
"73110000-6";NA;NA;NA;15
"79311200-9";70450;NA;NA;5
"71520000-9";NA;11700;11700;31
"72260000-5";NA;21000;21000;5
"79421000-1";NA;NA;NA;6
"79311200-9";20800;19130;19130;5
"37524100-8";26000;24537.94;24537.94;2
"80400000-8";NA;13914.29;13616.57;3
"72262000-9";1e+05;1e+05;NA;24
"72262000-9";NA;36000;36000;3
"45261000-4";NA;290334;382747.98;2
"79530000-8";NA;56326;NA;66
"16700000-2";NA;626612;626612;6
"48219000-6";NA;40613.31;40613.31;0
"71500000-3";NA;24740;24740;20
"71521000-6";NA;9528;9528;12
"72200000-7";NA;333333.33;NA;24
"79341400-0";375000;375000;124992.17;36
"39112000-0";26000;27623;27623;1
"72210000-0";NA;96000;96000;16
"79311200-9";NA;NA;NA;7
"79530000-8";NA;60000;NA;24
"79315000-5";NA;39800;39800;9
"63515000-2";2500000;22507;NA;48
"45210000-2";NA;NA;NA;6
"73110000-6";NA;13880;13880;3
"72267000-4";NA;10152;10509;12
"79210000-9";NA;11669.46;12199.89;23
"73110000-6";NA;11760;3500;3
"30197600-2";270000;192318.9;NA;36
"34110000-1";NA;NA;NA;11
"39120000-9";NA;5680.52;5680.52;2
"34960000-4";NA;453291;453291;12
NA;NA;NA;NA;NA
"79341000-6";16666.66;16435.25;16435.25;2
"79311410-4";NA;39000;39000;3
"39200000-4";50000;51750;51750;1
NA;NA;NA;NA;NA
"71530000-2";60000;29600;29600;14
"72200000-7";NA;11760;11760;3
NA;NA;NA;NA;NA
"79210000-9";NA;NA;NA;23
"79100000-5";NA;10000;10000;3
"79212000-3";NA;18720;18720;3
"80400000-8";NA;12452;12452;5
"72262000-9";NA;NA;NA;12
"73110000-6";NA;37909;37909;5
"39100000-3";125000;108961.16;108961.16;5
"79111000-5";NA;50000;44248.05;12
"39700000-9";130000;129238.2;129238.2;5
"79311200-9";NA;NA;NA;5
"37440000-4";NA;14020;14020;2
"73110000-6";NA;26500;26500;6
"45215215-7";5e+05;489334.86;332896.79;10
"72253200-5";NA;22297;22297;36
"71521000-6";NA;7920;7920;12
NA;NA;NA;NA;NA
"45222200-1";NA;5394658.05;5333373.26;12
"71620000-0";NA;26320;26320;4
"73100000-3";NA;21682;21682;6
"64210000-1";132000;132000;NA;24
"72212517-6";39999;40000;10112.6;20
"32232000-8";NA;26340;NA;60
"72261000-2";NA;13936.24;13936.24;12
"72260000-5";720000;674610;NA;36
"92111200-4";NA;15600;20263.4;2
"72262000-9";NA;97200;NA;21
"45261000-4";NA;NA;NA;3
"45233120-6";NA;1521444.28;1484089.2;7
"48311100-2";NA;35013.6;35013.6;1
"92111260-2";NA;14800;14800;1
"73210000-7";27500;NA;NA;8
"79212000-3";NA;28836;28836;6
"30233132-5";NA;18497.6;18497.6;1
"79311200-9";NA;39812.64;39812.64;12
"90910000-9";135000;160018;NA;39
"72261000-2";NA;28461.26;28461.26;12
"63510000-7";130000;130000;NA;24
"64214100-0";NA;36000;NA;37
"92111200-4";NA;37724;37724;1
NA;NA;NA;NA;NA
"45453100-8";50000;50000;52796;7
"30197000-6";40000;39999;38505.34;24
"79810000-5";NA;12797.6;12596.01;1
"45215215-7";1090000;973231.62;973231.62;10
"80400000-8";NA;33327;33227.55;6
"34144710-8";NA;425200;425200;7
"79800000-2";NA;13100;12576;20
"79800000-2";NA;6270;6897;2
"30200000-1";NA;57974;57974;61
"75112000-4";NA;41666.67;41666.67;9
"71222000-0";NA;12180;12180;1
"72260000-5";120000;120000;NA;36
"79100000-5";NA;30000;4258.2;13
"98392000-7";72800;72800;38696.6;12
"45200000-9";120000;68219.1;82828.4;6
"92400000-5";NA;24093.12;22279.5;24
"45222000-9";NA;285888.93;285814.13;6
"73110000-6";25000;23600;23600;4
"73110000-6";NA;35400;35400;9
"37440000-4";NA;NA;NA;2
"72253200-5";NA;52752;NA;24
"80400000-8";NA;53525;53525;7
"72260000-5";NA;22400;NA;48
"30200000-1";NA;124120;124120;3
"55100000-1";NA;3029.15;52168.64;12
"64110000-0";242000;NA;NA;12
NA;NA;NA;NA;NA
"43200000-5";NA;462870;462871;8
"34221000-2";NA;230270.45;230270.45;4
"39130000-2";36000;36000;NA;36
"71220000-6";NA;64500;64500;12
"80430000-7";NA;42607.5;42607.5;9
"80400000-8";NA;22744;22560;7
"80400000-8";NA;38240.7;38236.76;7
"72267000-4";129900;NA;NA;12
"75110000-0";NA;117150;117150;10
"73110000-6";NA;28500;28500;8
"73110000-6";115200;99480;99480;16
"85147000-1";NA;16000;19638.99;24
"72221000-0";94000;93960;93960;7
"79200000-6";NA;108240;NA;24
"39112000-0";NA;7700;7700;3
"64210000-1";NA;4466.88;NA;24
"79311200-9";NA;11000;11000;6
"79952000-2";NA;20200.95;19951;1
"75112100-5";NA;266666.66;266666.66;10
"71241000-9";12500;12400;12400;3
"31122000-7";NA;NA;NA;6
"09130000-9";22430000;22430351;NA;36
"72262000-9";39999;39999;28070;22
"73110000-6";NA;25250;25250;5
"90713100-9";NA;97600;NA;17
"79311200-9";NA;34583;34583;7
"85311300-5";NA;61782.7;28885.64;10
"73210000-7";NA;58400;47600;8
"72262000-9";NA;9920;NA;1
"92622000-7";NA;65000;65000;9
"71241000-9";36500;22900;22900;7
"33651300-1";NA;126336.87;126336.87;12
"73110000-6";NA;34000;34000;7
"73210000-7";14166.67;14166.67;14166.67;14
"66510000-8";NA;77277.26;76069.98;11
"72262000-9";NA;NA;NA;12
"34111200-0";NA;18899.52;NA;48
"79311200-9";NA;16400;16400;5
"73112000-0";91600;NA;NA;7
"34111200-0";NA;307951.48;NA;60
"72262000-9";NA;16920;15480;9
"32424000-1";NA;140349.4;124957.83;3
"73110000-6";20833;24640;24640;3
"55320000-9";NA;90016.5;94505.44;1
"72262000-9";NA;NA;NA;8
"45210000-2";NA;2874992;NA;12
"71241000-9";39000;34400;34400;4
"79100000-5";NA;22404.8;22555.1;18
"80400000-8";NA;32775.5;32640.6;5
"48326000-9";NA;89900.1;89900.1;24
"79800000-2";NA;8676;8439;2
"72200000-7";NA;NA;NA;30
"39290000-1";NA;NA;NA;4
"72262000-9";NA;8440;NA;2
"34110000-1";26000;25956;NA;84
"72262000-9";NA;NA;NA;9
"73110000-6";2e+05;166000;166000;26
"71200000-0";NA;27970;27970;6
"72260000-5";NA;92120;NA;48
"79100000-5";47000;47000;47000;8
"39516000-2";NA;44053.79;44053.79;1
"80533000-9";NA;26400;26400;12
"72250000-2";NA;39945;39945;12
"72262000-9";NA;20040;NA;3
"85111500-5";NA;1883183;2083343;12
"60410000-5";NA;NA;NA;37
"79300000-7";NA;24950;24950;6
"72262000-9";NA;18540;NA;36
"85312300-2";NA;99580;99580;12
"33651600-4";NA;566820;NA;13
NA;NA;NA;NA;NA
"50334140-8";NA;15260;15260;12
"63516000-9";NA;550000;2065304.37;24
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"35120000-1";NA;639055;NA;53
"90911100-7";NA;46244.16;41157.43;12
"60610000-7";1e+05;1e+05;NA;36
"45222200-1";NA;379705.35;379648.68;8
"79311200-9";NA;79000;79000;3
NA;NA;NA;NA;NA
"71520000-9";NA;116964;NA;35
"72253200-5";NA;21522.67;21522.67;24
"90919200-4";NA;135972;NA;36
"70332000-7";NA;169642;156199.2;24
"30200000-1";NA;15735.08;18122.24;12
"72262000-9";NA;81000;81000;7
"39200000-4";NA;22470;22470;2
"30213100-6";NA;27257;27257;1
"34110000-1";840000;768449.5;NA;48
"30213300-8";NA;34650;34650;1
"72262000-9";39999;39999;21835;12
"39120000-9";NA;18585.86;20063.83;2
"64212000-5";NA;80000;88749.78;24
"90510000-5";NA;754157;775599.43;12
NA;NA;NA;NA;NA
"45312200-9";NA;1305036.19;1248630.66;6
"79315000-5";NA;18668;18668;2
"79320000-3";NA;24500;24500;4
"72250000-2";120000;114011.71;114000;24
"45315300-1";NA;17732;17241;2
"72262000-9";62500;62500;NA;36
NA;NA;NA;NA;NA
"30197600-2";NA;26884;39112;24
"73200000-4";NA;9182.4;9182.4;13
"73200000-4";NA;20150;20150;13
"90711200-6";NA;19800;19800;5
"79310000-0";NA;6450;6450;1
"72250000-2";12000;9599;9599;1
"79952000-2";NA;67028;61029;7
"72414000-5";39900;39900;22117.41;24
NA;NA;NA;NA;NA
"66512200-4";NA;85637.43;87350.9;12
"30200000-1";NA;54994;54994;0
"34111100-9";NA;43324.5;NA;60
"85312320-8";NA;736000;NA;49
"30200000-1";NA;NA;NA;12
"79970000-4";NA;266100;NA;36
"71242000-6";NA;54725;54725;6
NA;NA;NA;NA;NA
"80400000-8";25000;24600;24600;4
"71251000-2";NA;62568;NA;24
"72253200-5";NA;39950;39948.65;12
"73110000-6";19166.67;23000;23000;3
"79212000-3";3760;3760;3760;7
"64210000-1";NA;280000;80030.26;24
"39157000-7";NA;9002;9002;1
"45111000-8";NA;154747;136290.36;2
"79315000-5";NA;10400;10400;3
"79212000-3";NA;33300;33300;6
NA;NA;NA;NA;NA
"39111100-4";NA;17965;17965;1
"72261000-2";NA;15885;15885;11
"48620000-0";NA;24489;24489;12
"30233132-5";NA;29798.66;29798.67;1
"33651400-2";NA;7979094.48;NA;19
"30233132-5";NA;11245;11245;0
"72250000-2";NA;131040;131040;12
"79212000-3";2144;2144;2144;8
"45210000-2";NA;13266.66;13266.66;1
"79212000-3";3340;3340;3340;8
"79315000-5";NA;8000;8000;4
"71240000-2";NA;25700;25700;5
"79212000-3";2144;2144;2144;8
"79212000-3";NA;2144;2144;8
"79212000-3";NA;NA;NA;8
"79212000-3";NA;18975.06;18245.25;36
"45453100-8";NA;56329;56329;2
"79310000-0";NA;8160;8160;4
"72200000-7";NA;5968182;NA;48
"32531000-4";NA;137000;137000;2
"30233131-8";NA;24950;24950;1
"80400000-8";NA;14100;14100;8
"72260000-5";NA;28490;21360;24
"50117000-8";NA;12900;12900;2
"79418000-7";16666;8820;8820;1
"33760000-5";NA;12500;NA;36
"60410000-5";NA;NA;NA;38
"45200000-9";NA;231414.69;231414.69;4
"79341400-0";125000;124742.65;124742.65;2
"72262000-9";35000;28000;28740;12
"30233000-1";NA;58079.57;58079.57;2
"73110000-6";38000;28850;28850;8
"72260000-5";NA;NA;NA;24
"32422000-7";NA;27895;27895;2
"71332000-4";60000;49800;49800;10
"72253200-5";15000;13330.18;13330.18;1
NA;NA;NA;NA;NA
"48311100-2";40000;38850;38850;1
"45222200-1";NA;NA;NA;8
"73200000-4";NA;11510;11510;4
"30190000-7";NA;16600;16645.45;12
"80330000-6";20000;20000;20000;9
"72262000-9";NA;24000;24000;3
"80400000-8";NA;16003.41;16003.34;8
"79311200-9";NA;16000;16000;6
"45200000-9";NA;606395.1;606395.1;4
"79315000-5";NA;19500;19500;3
"92111260-2";NA;NA;NA;2
NA;NA;NA;NA;NA
"71241000-9";18000;17250;17250;2
NA;NA;NA;NA;NA
"22850000-3";NA;80566.4;NA;31
"45200000-9";NA;NA;NA;4
"45110000-1";NA;224000;218500;5
"73110000-6";NA;28931.8;28931.8;6
"73200000-4";10000;NA;NA;2
"79810000-5";NA;11275.1;11229.51;2
"72200000-7";NA;28870;28870;6
"34115000-6";NA;99645.6;NA;60
"79340000-9";18000;15833.5;15121.08;14
"72266000-7";NA;22800;22800;16
"64210000-1";2e+05;2e+05;137324;26
"48900000-7";NA;32090;NA;38
"48510000-6";NA;39000;NA;36
"45332200-5";NA;90200;102046;30
"33651600-4";NA;2083946.25;NA;27
"79810000-5";NA;NA;NA;2
"73110000-6";NA;159382;159382;20
"79311200-9";NA;16700;16700;4
"71355000-1";50880;41480;41480;12
"42415110-2";NA;351000;NA;5
"48218000-9";NA;34200;29250;24
"45332200-5";NA;NA;NA;30
"64110000-0";NA;136770;136176.15;2
"73100000-3";30000;29780;29780;3
"72200000-7";NA;NA;NA;6
"72200000-7";NA;30000;25190;6
"73110000-6";NA;37000;37000;6
"32424000-1";NA;200325.34;240390.41;3
"79311200-9";37440;19880;19880;14
"71320000-7";NA;6020;6020;3
"45332200-5";NA;NA;NA;30
"73200000-4";NA;20582.4;20582.4;7
"30233000-1";NA;275000;275000;3
"39121000-6";NA;27844.13;27844.13;11
"80410000-1";NA;13420;13420;4
"79340000-9";NA;340917;340917;5
"80500000-9";NA;40020;40020;8
"80410000-1";NA;4800;4800;4
